song_name,first_position,first_credit,second_position,second_credit,third_position,third_credit,fourth_position,fourth_credit
Thani Oruvan - Kadhal Cricket Video,D. Imman,music director,A. R Rahman,music director,,,,
Saravanan Irukka Bayamaen - Yembuttu Irukkuthu Aasai Video,Ajith Kumar,male actor,A. R Rahman,music director,,,,
Yennai Arindhaal - Mazhai Vara Pogudhae Video,"Ajith Kumar Kumar, Shruti Haasan",male and female actor,A. R Rahman,music director,,,,
Vedalam - Aaluma Doluma Lyric,"Vikram, Nayanthara",male and female actor,Silambarasan TR,male actor,,,,
Iru Mugan - Halena Video,Harris Jayaraj,music director,Ilaiyaraaja,music director,,,,
Vaaranam Aayiram - Ava Enna Video,"Vishal, Sri Divya",male and female actor,Bharath Sankar,music director,,,,
Maruthu - Karuvakaatu Karuvaaya Video,LGM-Let’s Get Married,,Lokesh Kanagaraj,movie director,,,,
Salana,A.R. Rahman,music director,Silambarasan TR,male actor,,,,
MAAMANNAN - Manna Maamanna Lyric,Vetri Maaran,movie director,Anirudh Ravichander,music director,,,,
Viduthalai Part 1 - Kaattumalli Video,Silambarasan TR,male actor,Yuvan Shankar Raja,music director,,,,
Pathu Thala - Namma Satham Video,A.R. Rahman,music director,GV Prakash Kumar,music director,,,,
MAAMANNAN - Jigu Jigu Rail Lyric,Kannile Music Video,,A.R. Rahman,music director,,,,
Andhagan The Pianist,Pradeep Ranganathan,movie director,D. Imman,music director,,,,
Love Today - Pacha Elai Video,A.R. Rahman,music director,Yuvan Shankar Raja,music director,,,,
MAAMANNAN - Nenjame Nenjame Lyric,Silambarasan TR,male actor,Yuvan Shankar Raja,music director,,,,
Pathu Thala - Raawadi Video,Silambarasan TR,male actor,Arrol Corelli,music director,,,,
Private video,Silambarasan TR,male actor,Yuvan Shankar Raja,music director,,,,
Pathu Thala - Nee Singam Dhan Video,A.R. Rahman,music director,GV Prakash Kumar,music director,,,,
Pathu Thala - Osarattum Pathu Thala Lyrical Video,Vetri Maaran,movie director,Arrol Corelli,music director,,,,
Pathu Thala - Ninaivirukka Promotional Video,Yogi Babu,male actor,Latest Tamil Songs 2022,,,,,
Viduthalai Part 1 - Onnoda Nadandhaa Lyric,Vijay,male actor,Kamal Haasan,male actor,,,,
Yaanai Mugathaan - Dhoora Vaaney Lyric,A.R. Rahman,music director,Santosh Narayanan,music director,,,,
LEO - Bloody Sweet Promo,Kamal Haasan,male actor,Ranbir,male actor,,,,
Pathu Thala - Namma Satham Lyric,Pradeep Ranganathan,movie director,A.R. Rahman,music director,,,,
Vikram - Title Track Video,"Karthi, RaashiiKhanna",male and female actor,Yuvan Shankar Raja,music director,,,,
Love Today - Saachitale Video,Chiyaan Vikram,male actor,Anirudh Ravichander,music director,,,,
Sardar - Mere Jaan Video,Sasikumar,male actor,D. Imman,music director,,,,
Cobra - Tharangini Video,"Karthi, Aditi Shankar",male and female actor,Mrunal,female actor,,,,
KAARI - Saanjikkava Video,Pradeep Ranganathan,movie director,Vijay Sethupathi,male actor,,,,
Viruman - Kanja Poovu Kannala Video,"Udhayanidhi Stalin, Nidhhi Agerwal",male and female actor,Vijay Sethupathi,male actor,,,,
Love Today - Ennai Vittu Video,Pradeep Ranganathan,movie director,Prashanth,male actor,,,,
Kalagathalaivan - Hey Puyale Video,"Karthi, RaashiiKhanna",male and female actor,Anirudh Ravichander,music director,,,,
Love Today - Mamakutty Video,"Udhayanidhi Stalin, Nidhhi Agerwal",male and female actor,A.R. Rahman,music director,,,,
Sardar - Yaerumayileri Video,Tamil Pop Songs,,Dhibu Ninan Thomas,music director,,,,
Kalaga Thalaivan - Hey Puyale Lyric,VIKRAM,,Udhayanidhi Stalin,male actor,,,,
Kannama Music Video - Ben Human,Santhanam,male actor,A.R Rahman,music director,,,,
Once Upon A Time Video,Theethiriyaai Video,,A.R Rahman,music director,,,,
Gulu Gulu - Maatna Gaali Lyric,Chiyaan Vikram,male actor,Udhayanidhi Stalin,male actor,,,,
BRAHMĀSTRA (Tamil),Anirudh Ravichander,music director,Mani Ratnam,movie director,,,,
Cobra - Uyir Urugudhey Lyric,"Karthi, Aditi Shankar",male and female actor,Udhayanidhi Stalin,male actor,,,,
Kaathuvaakula Rendu Kaadhal - Dippam Dappam Video,"Sivakarthikeyan, Priyanka Mohan",male and female actor,Silambarasan TR,male actor,,,,
Viruman - Kanja Poovu Kannala Lyric,Sasikumar,male actor,A. R Rahman,music director,,,,
Don - Bae Video,Dulquer,male actor,Vikram,male actor,,,,
KAARI - Saanjikkava Lyric,Kamal Haasan,male actor,A.R. Rahman,music director,,,,
