Years active 2011,Name,Languages
2005–present,NTR Jr.,"Telugu, Kannada"
1950–2013,P. B. Sreenivas,"Telugu, Kannada, Tamil, Malayalam, Hindi, English-language"
1927-1978,Pankaj Mullick,"Hindi, Urdu, Bengali"
1980–present,Pankaj Udhas,"Hindi, Urdu, Sindhi, Nepali"
2004–present,Papon,"Bengali, Assamese, Hindi, Marathi, Tamil"
2009–present,Parichay (singer),"Hindi, Punjabi, English"
1993–present,Parthiv Gohil,"Hindi, Gujarati, English"
1997–present,Pawan Singh,"Bhojpuri, Hindi"
2015–present,Pawandeep Rajan,"Hindi, Marathi, Bengali, Punjabi, Kumaoni, Assamese[5][6]"
1993–present,Pradip Somasundaran,"Malayalam, Tamil, Hindi, Kannada, Telugu"
2018-present,Premjeet Singh Dhillon,Punjabi
2001 – present,Pritam,"Bengali, Hindi"
1981–1989; 2002 – 2021,Puneeth Rajkumar,"Kannada, Tulu"
2009–present,Rahul Sipligunj,"Telugu, Hindi, Kannada"
2005–present,Rahul Vaidya,"Hindi, Marathi, Nepali, Telugu, Tamil"
1991–present,Rajesh Krishnan,"Kannada, Telugu, Tamil, Hindi and in about 15 languages[citation needed]"
1965–2006,Dr. Rajkumar,Kannada
2008–present,L. V. Revanth,Telugu
1975–present,Remo Fernandes,"Konkani, Hindi, English, Kannada, Telugu"
1992–present,Roop Kumar Rathod,"Hindi, Tamil, Telugu, Kannada, Bengali"
2007–present,Rupam Islam,"Bengali, Hindi"
1965-1994,R. D. Burman,"Bengali, Hindi, Assamese"
1932–1975,S. D. Burman,"Bengali, Assamese, Hindi"
2002–present,Silambarasan,"Tamil, Telugu"
1966–2020,S. P. Balasubrahmanyam,"Telugu, Tamil, Kannada, Malayalam, Hindi, Marathi, Bengali, Odia, Punjabi, Tulu, Gondi[citation needed]"
1998–present,S. P. B. Charan,"Tamil, Telugu, Kannada, Hindi"
2000–present,Saandip,"Telugu, Hindi, Kannada, Tamil"
2010–present,Sachin Warrier,"Malayalam, Telugu, Tamil"
2000–present,Sandeep Khurana,"English, Hindi"
1997–present,Shabab Sabri,"Hindi, Urdu"
1989–present,Shaan,"Hindi, English, Assamese, Bengali, Telugu, Urdu, Gujarati, Dhivehi, Kannada, Odia, Tamil, Marathi, Malayalam, Nepali, Konkani, Punjabi, Bhojpuri[citation needed]"
1980–present,Shabbir Kumar,"Hindi, Urdu, Marathi, Bengali, Odia, Gujarati, Bhojpuri, Punjabi, Assamese, Rajasthani[citation needed]"
1975–1997,Shailender Singh,"Hindi, Urdu"
1998–present,Shankar Mahadevan,"Hindi, Sanskrit, Tamil, Telugu, Malayalam, Kannada, Bengali, Marathi[citation needed]"
1949–1987,Shyamal Mitra,"Bengali, Hindi, Assamese, Odia"
2012–present,Sid Sriram,"Telugu, Tamil, Hindi"
2016 – 2022,Sidhu Moose Wala,Punjabi
2008–present,S. Thaman,"Telugu, Tamil, Kannada, Hindi, Malayalam"
1993–present,Sonu Nigam,"Hindi, English, Bengali, Maithili, Kannada, Nepali, Punjabi, Telugu, Urdu, Odia, Tamil, Marathi, Malayalam, Gujarati, Bhojpuri[citation needed]"
1988–present,Sudesh Bhosle,"Hindi, Marathi, Bengali, Nepali, Odia, Kumaoni"
2007–present,Suraj Jagan,"Hindi, Telugu, Bengali"
2002–present,Soham Chakraborty,"Hindi, Bengali"
2001–present,Sriram Parthasarathy,"Tamil, Telugu"
1998 – present,Sukhjinder virk,Punjabi
1991–present,Sukhwinder Singh,"Hindi, Bengali, Telugu, Tamil, Malayalam, Marathi, Punjabi[citation needed]"
2013–present,Sundar Narayana Rao,"Hindi, Telugu, Tamil"
1978–present,Suresh Wadkar,"Hindi, Marathi, Odia, Bengali, Urdu, assal marathi, Nepali"
2014–present,Sweekar Agasthi,Telugu
2008–present,Tanishk Bagchi,"Hindi, Bengali"
1945–1997,Talat Mahmood,"Hindi, Urdu, Bengali"
2008–present,Tochi Raina,Hindi
