Years active 2018,Name,Language
1997–present,Palak Muchhal,"Hindi, Bengali, Sanskrit, Gujarati, Odia, Assamese, Rajasthani, Bhojpuri, Punjabi, Marathi, Kannada, Telugu, Tamil, Sindhi and Malayalam"
1995–present,Pop Shalini (Shalini Singh),"Tamil, Telugu, Kannada, Hindi"
2007–present,Prashanthini,"Tamil, Telugu"
2007–present,Priya Himesh,"Tamil, Telugu, Kannada"
2003–present,Priyadarshini,"Tamil, Hindi, Kannada, Telugu, Marathi, Malayalam, Sanskrit, Urdu, English"
1996-presents,Queen Hazarika,"Assamese, Hindi, Bengali, Marathi"
1949–1977,Rajkumari Dubey,"Hindi, Gujarati, Punjabi"
2015–present,Rakshita Suresh,"Tamil, Telugu, Kannada, Hindi, Malayalam,"
1960–1980,Ramakrishna V.,Telugu
2008–present,Ranina Reddy,"Telugu, Tamil"
2005–present,Ranjini Jose,"Tamil, Telugu, Malayalam, Kannada, Hindi"
1939-1980,Rao Balasaraswathi Devi,"Telugu,Tamil"
2003–present,Reena Bhardwaj,"Tamil, Telugu, Hindi"
1997–present,Rekha Bhardwaj,"Hindi, Bengali, Punjabi"
2000–present,Richa Sharma,Hindi
2000–present,Rimi Tomy,"Malayalam, Telugu"
2008–present,Roopa Revathi,"Malayalam, Tamil"
1944–2019,Ruma Guha Thakurta,"Bengali, Hindi"
1957–present,S. Janaki,"Kannada, Malayalam, Tamil, Telugu, Hindi, Odia, Tulu, Saurashtra, English, Japanese, Baduga, German, Sinhalese, Bengali, Sanskrit, others"
1977–2002,S. P. Sailaja,"Telugu, Tamil, Kannada, Malayalam"
1982–present,Sadhana Sargam,"Hindi, Bengali, Marathi, Telugu, Tamil, Kannada, Malayalam, Gujrathi, Sanskrit, Punjabi, Bhojpuri, Ahirani, Assamasse, Kumaowni, Sindhi, Marwadi, Dogri, Bodo, Kashmiri, Manipuri, Sandhali, English, Odia, Tulu, Konkani, Gharwali, Maithili, Punjabi, Urdu, Nepali"
1979–present,Sagarika Mukherjee,"English, Hindi, Assamese, Bengali"
1980–present,Salma Agha,"Urdu, Hindi"
1990–present,Samantha Edwards,"English, Hindi, Tamil, Punjabi"
2006–present,Sanchita Bhattacharya,"Bengali, Hindi"
1948–2022,Sandhya Mukhopadhyay,"Bengali, Hindi, Urdu"
1998–present,"Sanjeevani 
(Sanjeevani Bhelande)","Hindi, Marathi, Nepali, Gujarati, Telugu, Bengali, English"
1951–1967,Santha P. Nair,Malayalam
2001–present,Saindhavi,"Tamil, Telugu, Kannada"
1985–present,Sapna Mukherjee,Hindi
2008–present,Shakthisree Gopalan,"Tamil, Malayalam, Telugu, Hindi, Kannada, English"
2012–present,Shalmali Kholgade,"Hindi, Bengali, Marathi, Tamil, Telugu"
1941–1976,Shamshad Begum,"Hindi, Urdu, Punjabi"
1965–1986,Sharda Rajan Iyengar,"Hindi, Telugu, Marathi, Gujarati"
2010–present,Shashaa Tirupati,"Hindi, Tamil, Malayalam, Telugu, Marathi, Bengali, Punjabi, Urdu, English, Arabic, Armenian, Kannada, Konkani, Assamese"
2007–present,Shazneen Arethna,Hindi
2003–present,Shilpa Rao,"Hindi, Bengali, Tamil, Malayalam"
1980–present,Sharda Sinha,"Hindi, Bhojpuri, Maithili"
2003–present,Shibani Kashyap,"English, Hindi"
1998–present,Shreya Ghoshal,"English, Hindi, Urdu, Assamese, Bengali, Bhojpuri, Bodo, Kannada, Malayalam, Marathi, Nepali, Punjabi, Sindhi, Tamil, Telugu, Tulu, Gujarati, Rajasthani, French, Angika, Odia, Sanskrit, Arabic, Konkani"
2004–present,Shruti Pathak,"Hindi, Urdu, Bengali"
1996–present,Shubha Mudgal,"Hindi, Tamil"
1995–present,Shweta Mohan,"Hindi, Malayalam, Telugu, Tamil, Kannada"
1999–present,Shweta Pandit,"Hindi, Bengali, Kannada"
1990–present,Shweta Shetty,"Hindi, Urdu"
2013–present,Shirley Setia,Hindi
,Simiran Kaur Dhadli,Punjabi
2019–present,Sivaangi Krishnakumar,"Tamil, Malayalam, Telugu"
"2000-
present",Smita,"Telugu,Tamil,Hindi"
2012–present,Sravana Bhargavi,Telugu
2007–present,Sithara,"Malayalam, Tamil, Telugu, Kannada"
2005 – present,Sona Mohapatra,"Hindi, Odia, Marathi"
2002–present,Sonu Kakkar,"Hindi, Punjabi, Kannada, Tamil, Telugu,"
2009–present,Somlata Acharyya Chowdhury,Bengali
1993–present,Sowmya Raoh,"Kannada, Tamil, Telugu, Hindi"
2002–present,Srilekha Parthasarathy,"Telugu, Tamil, Malayalam"
1954–1982,Sudha Malhotra,Hindi
1977–present,Sujatha,"Malayalam, Hindi, Telugu, Tamil, Kannada"
1967–1998,Sulakshana Pandit,Hindi
1954–1981,Suman Kalyanpur,"Hindi, Marathi, Assamese, Gujarati, Kannada, Bhojpuri, Rajasthani, Bengali, Odia, Punjabi, Urdu"
2002–present,Sunitha Sarathy,"Tamil, Malayalam, Telugu, Hindi, Kannada, English, Mandarin"
1995–present,Sunitha Upadrashta,"Telugu, Tamil, Kannada"
1997–present,Surmukhi Raman,"Tamil, Telugu, Kannada, Malayalam"
1971–present,Sushma Shrestha,"Hindi, Nepali, Marathi"
2016–present,Sunanda Sharma,"Hindustani, Hindi, Punjabi"
1996–present,Sunidhi Chauhan,"Hindi, Telugu, Tamil, Kannada, Urdu, Punjabi, Marathi, Bengali, Odia"
2005–present,Suvi Suresh,"Tamil, Hindi, Kannada"
